"","species","genect","genelen_mean","genelen_sd","intronlen_mean","intronlen_sd","intronct_mean","intronct_sd","exonlen_mean","exonlen_sd","genome_size","contig_count"
"Aaoar1","Aaoar1",14203,"1589.919","1063.290","82.514","141.420","1.764","1.814","575.167","657.557",38901049,55
"Abobi1","Abobi1",11770,"1546.087","980.675","67.458","51.204","5.548","4.903","236.131","280.740",45165060,360
"Abobie1","Abobie1",11767,"1533.204","994.096","67.323","47.196","5.410","4.852","239.200","294.858",33118568,73
"Chlpad1","Chlpad1",13495,"1385.520","1067.286","81.436","60.657","3.813","3.609","287.899","357.294",34328230,117
"Absrep1","Absrep1",14919,"1453.559","1108.239","91.731","59.560","3.723","3.617","307.764","378.232",47422896,94
"Acain1","Acain1",8025,"1577.131","1214.139","77.370","65.185","1.984","1.870","528.476","739.484",19330111,28
"Acema1","Acema1",21024,"1220.636","965.890","86.973","118.356","1.950","1.957","413.747","530.769",73683338,1695
"Achstr1","Achstr1",10185,"1737.143","1157.419","94.813","107.508","1.944","1.861","590.055","705.954",32422668,8
"Aciri1_meta","Aciri1_meta",10352,"1443.731","1011.439","85.811","123.593","1.295","1.534","628.940","763.140",26819972,1683
"Aciri1_iso","Aciri1_iso",11202,"1374.749","1004.154","85.940","134.132","1.282","1.523","602.313","744.007",29883570,3164
"Aciaci1","Aciaci1",11057,"1522.699","1082.185","107.932","110.024","1.872","1.897","530.183","650.611",37766571,713
"Acral2","Acral2",9521,"1584.484","1210.039","136.619","630.451","2.737","3.514","423.999","648.205",54417234,13
"Acrchr1","Acrchr1",8899,"1475.294","1262.324","93.592","109.431","1.643","1.582","558.143","767.026",28563214,540
"Acrst1","Acrst1",13112,"1623.097","1075.996","82.057","105.480","1.834","1.909","572.637","673.453",35793893,13
"Agahy1","Agahy1",7746,"1502.663","999.874","59.633","35.417","5.436","4.374","233.484","289.105",17894169,108
"Agabi_varbisH97_2","Agabi_varbisH97_2",10438,"1416.232","1006.244","68.959","162.017","5.046","4.771","234.225","285.988",30233745,29
"Agabi_varbur_1","Agabi_varbur_1",11289,"1351.446","1011.935","67.161","143.921","4.725","4.742","236.073","291.490",32614401,2016
"Agrped1","Agrped1",17281,"1203.044","950.422","68.634","73.145","4.357","4.604","224.570","297.153",45056484,1384
"Agrpra2","Agrpra2",12993,"1515.622","1017.692","66.607","62.947","5.238","4.719","242.952","304.992",46411657,508
"Albpec1","Albpec1",15010,"1457.314","939.126","67.456","62.057","5.152","4.591","236.889","281.331",48114380,239
"Alikh1","Alikh1",11678,"1475.273","1089.141","82.383","97.590","2.244","2.294","454.835","583.679",119520317,1759
"Allma1","Allma1",19446,"1698.455","1252.784","105.329","137.276","2.455","2.268","491.563","634.783",57060573,101
"Altalt1","Altalt1",13086,"1561.192","1045.556","75.018","90.536","1.615","1.548","597.064","675.650",33441249,26
"Altal1","Altal1",13468,"1606.179","1060.848","75.075","87.211","1.606","1.564","616.367","689.066",32990834,79
"Altbr1","Altbr1",10688,"1333.322","1088.231","113.451","135.944","1.675","1.549","498.393","634.707",31974449,838
"Altro1","Altro1",12640,"1684.016","1077.864","76.051","93.526","1.666","1.592","631.687","698.159",33831682,52
"Amamu1","Amamu1",18153,"1146.715","930.064","70.627","308.233","3.538","4.121","252.684","303.015",40699759,1101
"Amath1","Amath1",10354,"1360.442","1043.648","65.057","84.715","5.024","4.911","225.832","286.958",33689220,1446
"Ambph1","Ambph1",6975,"1581.300","1202.028","424.363","549.272","0.292","0.620","1223.468","1069.366",17710905,474
"Amnli1","Amnli1",15590,"1465.647","1082.100","91.843","250.232","1.668","1.742","549.318","654.374",49576578,510
"Amore1","Amore1",9642,"1534.888","1071.602","90.756","304.205","1.968","1.880","517.172","634.163",28632928,32
"Ampqui1","Ampqui1",11144,"1566.573","1122.281","76.358","91.993","1.597","1.677","603.140","698.411",36811257,73
"Amysub1","Amysub1",10729,"1505.285","1005.324","68.583","65.397","5.383","4.745","235.835","281.005",45931636,364
"Amylap1_1","Amylap1_1",11559,"1508.279","987.401","66.734","65.248","5.388","4.804","236.114","272.860",35500685,801
"Amyrou1","Amyrou1",14619,"1207.444","980.848","65.694","67.110","2.848","2.820","313.779","393.037",45703929,775
"Amycha1","Amycha1",14750,"1333.766","940.094","71.988","94.531","4.638","4.490","236.554","279.810",38204724,2032
"Anasp1","Anasp1",12832,"1656.936","1615.084","200.681","177.168","3.665","4.796","355.151","657.607",71685009,1035
"Anoalb1","Anoalb1",11099,"1448.723","1005.418","64.493","56.768","5.415","4.850","225.847","272.428",41350632,173
"Anobom1","Anobom1",14617,"1287.217","974.103","67.207","71.482","4.732","4.708","224.555","267.183",44480112,1600
"Anomyc1","Anomyc1",11797,"1425.908","1000.129","65.191","58.641","5.478","4.821","220.110","261.872",45712503,59
"Antav1","Antav1",15755,"1498.454","1144.088","109.600","424.220","1.935","2.117","510.579","634.129",56234513,786
"Antlo1","Antlo1",2606,"699.093","638.547","NaN","NA","0.000","0.000","699.093","638.547",6074860,3116
"Antser1","Antser1",16711,"1391.192","940.750","71.816","88.116","5.033","4.731","230.593","265.435",66694225,893
"Antsi1","Antsi1",11327,"1469.855","1025.048","66.590","84.352","5.090","5.003","241.346","291.287",30168058,1387
"Aphpse1","Aphpse1",11120,"1582.479","1032.150","65.366","56.487","5.512","5.016","243.001","298.741",32195292,159
"Apibac1","Apibac1",12368,"1551.656","1132.125","106.688","133.089","1.674","2.136","580.346","698.416",40188346,37
"Apimo1","Apimo1",16992,"1425.788","1069.298","101.707","187.245","1.519","1.753","565.972","677.969",47671174,686
"Aplpr1","Aplpr1",12579,"1469.317","1074.027","81.232","124.570","1.666","1.734","551.191","658.926",32818685,334
"Apope1","Apope1",13445,"1695.463","1199.627","92.329","113.036","1.779","1.866","609.995","758.891",42017045,36
"Elmca1","Elmca1",16571,"1375.352","935.732","61.891","107.965","4.277","4.405","260.608","310.364",39532937,533
"Armbor1","Armbor1",19984,"1351.457","889.281","63.231","64.758","5.052","4.784","223.302","272.320",71689880,864
"Armcep1","Armcep1",23460,"1306.096","1019.874","78.190","209.438","4.503","4.818","237.329","332.387",75828441,287
"Armect1","Armect1",12228,"1477.130","978.208","59.106","46.894","5.622","4.964","223.052","270.618",40598130,33
"Armga1","Armga1",25704,"1076.704","836.769","65.767","71.331","4.289","4.549","203.576","252.274",85336812,319
"Armlut1","Armlut1",19468,"1353.384","902.585","63.640","67.137","5.249","4.794","216.561","258.724",97106278,439
"Armme1_1","Armme1_1",14473,"1246.260","983.276","72.464","83.834","5.019","5.334","207.050","263.399",79545241,29300
"Armnab1","Armnab1",19015,"1385.753","911.401","61.831","58.117","5.106","4.796","226.939","277.904",62718798,85
"Armosto1","Armosto1",22705,"1212.127","1025.137","69.573","130.243","4.514","4.612","219.821","328.044",60106801,106
"Armost1","Armost1",20811,"1114.134","862.644","61.904","59.986","4.475","4.724","203.477","256.468",58009494,229
"Armtab1","Armtab1",19031,"1360.120","887.186","62.592","61.951","5.194","4.823","219.592","261.213",74875987,659
"Artfe1_2","Artfe1_2",5449,"1445.202","1068.713","175.115","215.163","0.347","0.747","1072.876","990.623",14372669,46
"Artol1","Artol1",11479,"1498.675","1176.416","89.191","86.470","2.169","2.259","472.943","601.886",40072829,215
"Artbe1","Artbe1",7980,"1482.712","1192.954","83.365","39.497","1.588","1.587","572.925","719.236",22224160,68
"Artele1122_1","Artele1122_1",11945,"1460.190","982.560","69.471","67.528","4.907","4.662","247.215","292.511",33812861,94
"Artel1","Artel1",12851,"1455.098","993.570","70.495","96.718","4.723","4.638","254.262","300.586",33075802,243
"Ascim1","Ascim1",17877,"1408.944","1061.497","99.574","224.756","1.670","1.802","527.745","560.835",59529874,706
"Ascra1","Ascra1",10596,"1534.967","1154.794","109.600","315.517","1.749","1.847","558.381","682.465",34658250,338
"Ascsa1","Ascsa1",10672,"1491.297","1114.391","100.610","292.358","2.026","1.998","492.774","630.958",34170264,219
"Ascni1","Ascni1",9622,"1261.425","1065.370","76.859","83.657","1.995","2.179","421.234","526.414",27385218,176
"Ascru1","Ascru1",6802,"1555.505","1190.942","334.848","1011.959","0.387","0.787","1121.652","1106.466",17503998,63
"Aspacri1","Aspacri1",11221,"1693.178","1224.691","78.501","95.384","2.173","2.121","533.609","678.831",32593788,311
"Aspacu1","Aspacu1",12027,"1422.151","1115.697","94.981","241.084","2.126","2.126","454.947","614.346",36471649,121
"Aspac1","Aspac1",10845,"1666.780","1155.342","88.086","140.744","2.232","2.083","515.771","655.102",35424414,660
"Aspamy1","Aspamy1",12857,"1657.871","1194.396","78.899","99.103","2.279","2.205","505.604","634.843",34894441,462
"Aspbisp1","Aspbisp1",9731,"1742.481","1219.889","84.290","102.395","2.296","2.183","528.688","658.814",27095172,244
"Aspbom1","Aspbom1",12265,"1490.791","1113.747","82.472","128.721","2.260","2.165","457.343","608.672",37474605,450
"Aspbr1","Aspbr1",13000,"1558.576","1154.604","85.506","164.071","2.157","2.143","493.749","638.534",35808783,105
"Aspbrev1","Aspbrev1",12832,"1704.903","1150.981","80.525","97.455","2.218","2.208","529.884","652.592",36004448,685
"Aspbru1","Aspbru1",12075,"1404.406","1122.767","95.557","245.181","2.104","2.212","452.424","612.533",37477200,153
"Aspcal1","Aspcal1",14912,"1359.239","1030.149","122.084","244.556","1.911","1.939","466.973","626.908",41102685,78
"Aspcam1","Aspcam1",9764,"1636.420","1186.877","90.797","185.961","2.219","2.111","508.319","649.500",28257496,62
"Aspcand1","Aspcand1",9641,"1714.731","1159.223","85.333","104.491","2.193","2.154","537.111","666.894",27317772,268
"Aspca3","Aspca3",11624,"2017.878","1485.176","90.641","566.392","2.465","2.318","582.363","755.638",36290756,963
"Aspcar1","Aspcar1",14289,"1659.896","1105.440","78.363","94.478","2.144","2.155","528.011","633.091",39460077,254
